url, QDM, FHIR
http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.114222.4.11.3591, v20221118, v20250419
http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113762.1.4.1111.143, v20210611, v20210611
http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113883.3.117.1.7.1.292, v20210611, v20210611
http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113762.1.4.1110.38, v20190426, v20190426
http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113883.3.666.5.307, v20200307, v20200307
http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113762.1.4.1029.206, v20210220, v20210220
http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113762.1.4.1029.204, vGROUPED, v20210220
http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113762.1.4.1110.23, vGROUPED, v20210220
http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113762.1.4.1045.26, v20210611, v20210611
http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113762.1.4.1029.369, v20210611, v20210611
http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113762.1.4.1029.368, vGROUPED, v20210611
http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113762.1.4.1045.59, v20210611, v20210611
http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113762.1.4.1045.58, vGROUPED, v20210611
http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113883.3.117.1.7.1.401, vGROUPED, v20250207
http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113762.1.4.1110.68, v20230217, v20230217
http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113762.1.4.1110.72, vGROUPED, v20230217
http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113762.1.4.1110.73, vGROUPED, v20230217
http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113762.1.4.1045.99, v20210611, v20210611
http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113762.1.4.1045.173, vGROUPED, v20210611
http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113762.1.4.1045.98, vGROUPED, v20210611
http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113883.3.117.1.7.1.282, v20210611, v20210611
http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113883.3.117.1.7.1.367, vGROUPED, v20210611
http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113883.3.117.1.7.1.369, vGROUPED, v20250207
http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113762.1.4.1045.105, v20210611, v20210611
http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113762.1.4.1045.103, vGROUPED, v20230217
http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113762.1.4.1045.171, vGROUPED, v20240209
http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113762.1.4.1110.37, v20230217, v20230217
http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113762.1.4.1110.36, vGROUPED, v20240208
http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113762.1.4.1110.77, vGROUPED, v20240208
http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113883.3.464.1003.110.12.1049, v20180310, v20180310
http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113883.3.464.1003.110.11.1124, vGROUPED, v20240323
http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113883.3.464.1003.110.11.1123, vGROUPED, v20240323
http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113762.1.4.1200.147, , v20201204
http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113762.1.4.1147.197, v20220415, v20220415
http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113762.1.4.1248.23, v20250205, v20250205
http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113762.1.4.1248.163, v20240119, v20240119
